USA,CO2 emissions (metric tons per capita),TotalSales,Honda Insight,Toyota Prius,Honda Civic,Ford Escape/Mercury Mariner,Honda Accord,Toyota Highlander,Lexus RX 450h,Toyota Camry,Lexus GS 450h,Nissan Altima,Lexus LS 600hL,Saturn Vue,"Tahoe, Yukon, Escalade",Chevrolet Malibu,Saturn Aura,Aspen & Durango,Silverado & Sierra,Ford Fusion & Milan,Lexus HS 250h,Mercedes S400,Mercedes ML450,Mercedes E320,Mazda Tribute,BMW X6 & Activehybrid 3&5&7,Honda CR-z,Lincoln MKZ,Porsche Cayenne,Lexus CT 200h,VW Touareg,Infinity Q70 (formerly M Hybrid),Hyundai Sonata,Buick LaCrosse,Buick Regal,Porsche Panamera S,Kia Optima,Acura ILX,Ford C-Max Hybrid,Lexus  ES Hybrid,Audi Q5 Hybrid,Toyota Avalon,VW Jetta,Mercedes E400h,Infiniti Q50,Chevrolet Impala Hybrid,Infiniti QX60,Nissan Pathfinder Hybrid,Subaru XV,Acura RLX,Lexus NX Hybrid,Toyota RAV4,Acura NSX,Kia Niro,Hyundai Ioniq Hybrid,Acura MDX Hybrid,GMC Sierra Hybrid,Lexus LC500h,Nissan Rogue Hybrid,Lexus LS 500h,Lexus UX,Toyota Corolla
1970,21.11125227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,20.98020348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,21.74864198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,22.51058213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,21.50293038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,20.40222407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,21.15761537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,21.53248401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,21.97300469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,21.78043698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,20.78648774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,19.76676417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,18.59049523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,18.57154371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,18.97675027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,18.88231274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,18.72072272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,19.35033442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,20.01041341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,20.07576978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,19.32275118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,19.05616319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,19.13943728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,19.34708291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,19.36089205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,19.27654526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,19.49602474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,19.69036318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,19.5792362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,19.72716951,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,20.17875051,9350,3788,5562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,19.63650507,20282,4726,15556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,19.61340408,36042,2216,20119,13707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,19.56410453,47566,1168,24627,21771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,19.65837118,84233,583,53991,26013,2993,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,19.59188523,205876,666,107897,25864,15960,16826,17989,20674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,19.09406652,251864,722,106971,31253,22549,5598,31485,20161,31341,1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,19.21789784,351071,3,181221,32575,25108,3405,22052,17291,54477,1645,8388,937,3969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,18.46176387,315763,,158886,31297,19522,198,19391,15200,46272,678,8819,980,3399,7612,3118,310,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,17.15773779,290273,20572,139682,15119,16480,1,11086,14464,22887,469,9357,258,2656,7192,4162,527,42,1598,17022,6699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,17.4431109,274648,20962,140928,7336,12088,,7456,15119,14587,305,6710,129,50,3857,405,55,,2393,22232,10663,955,766,,655,350,5249,1192,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,16.91520177,266501,15549,136463,4703,10089,,4549,10723,9241,282,3236,85,,1877,24,,,1165,11286,2864,309,1,59,484,381,11330,5739,1571,14381,390,378,17366,1801,123,52,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,16.19342933,434648,5846,223906,7156,1441,,5921,12223,45656,607,103,54,,1801,16664,,,940,14100,650,121,22,,90,1040,4192,6067,1180,17671,250,691,20754,12010,2564,570,10245,972,10935,7027,270,747,162,,,,,,,,,,,,,,,,,,,
2013,16.36222413,495535,4802,222140,7719,,996,5070,11307,44448,522,,115,,1036,13779,,,169,37270,5,64,11,,,1456,4550,7469,615,15071,118,475,21559,7133,2893,113,13919,1461,28056,16562,854,16468,5655,282,307,56,676,334,,,,,,,,,,,,,,
2014,16.41657591,452172,3965,194108,5070,,13977,3621,9351,39515,183,,65,,137,1018,,,30,35425,,10,20,,,308,3562,10033,650,17673,30,180,21052,7353,662,,13776,379,19162,14837,283,17048,1939,158,3456,565,1678,2480,7926,133,354,,,,,,,,,,,
2015,15.98986626,384400,1458,180603,4887,,11065,4015,7722,30640,91,,47,,25,59,,,3,24681,,1,10,,,63,3073,8403,,14657,16,176,19908,4042,186,,11492,22,14177,11241,97,11956,740,53,4012,272,2356,2245,5589,250,2573,1494,,,,,,,,,,
2016,15.50220398,346949,75,134155,896,,9179,5976,8561,22227,70,,40,,,4335,,,,33648,,,,,,64,2338,7219,,8903,1,118,18961,765,45,,6142,1,11877,7645,18,8451,709,14,1998,35,1114,816,2173,199,2842,45070,269,,,,,,,,,
2017,,362868,3,87725,65,,22008,16864,8568,20985,50,,,,,4452,,,1,57474,,,,,,,705,5931,,4690,,58,10338,506,6,,5589,,10221,5394,,4990,70,3,870,1,298,389,45,292,3323,50559,581,27237,10770,1807,,,,,,
2018,,343219,12510,59995,6,,17188,14513,15656,22914,40,,211,,,2447,,,,54157,,,,,,,38,4407,,4,,22,4526,2809,,,5924,,6101,5250,,8008,1,,300,,,,,690,9062,48122,170,25743,13068,2106,3643,102,3363,123,,
2019,,400746,23686,47862,,,23817,18248,16116,26043,7,,187,,,1237,,,,49603,,,,,,,2,5147,,,,,2636,1057,,,1054,,38,8608,,6552,,,129,,,,572,451,9649,92525,238,18336,15558,2130,114,37,4205,,8603,16299
